      1000	   5184.93779197   10117.52293794   -4932.58514596
      2000	   5555.03257522   10145.57725143   -4590.54467621
      3000	   5644.24245909   10124.81355532   -4480.57109624
      4000	   5464.09550796   10198.65813049   -4734.56262253
      5000	   5648.34013350   10144.72590889   -4496.38577539
      6000	   5571.64113462   10154.62469955   -4582.98356492
      7000	   5687.93106523   10203.37329841   -4515.44223318
      8000	   5637.05287805   10054.10614358   -4417.05326552
      9000	   5647.01707981   10091.82198723   -4444.80490742
     10000	   5650.57685764   10160.85365040   -4510.27679275
     11000	   5580.11361906   10134.64102427   -4554.52740520
     12000	   5497.66713535   10175.86682265   -4678.19968730
     13000	   5627.48499646   10247.00717515   -4619.52217869
     14000	   5575.28869969   10124.85481711   -4549.56611742
     15000	   5557.76470106   10144.55018817   -4586.78548711
     16000	   5610.66100716   10171.14311169   -4560.48210453
     17000	   5622.94782690   10188.74434985   -4565.79652295
     18000	   5722.67003750   10170.77267689   -4448.10263939
     19000	   5596.91191460   10172.62464631   -4575.71273171
     20000	   5574.23086744   10152.54622319   -4578.31535576
     21000	   5544.98373669   10074.44612030   -4529.46238361
     22000	   5707.53075315   10208.24828596   -4500.71753281
     23000	   5575.83962119   10158.10843515   -4582.26881395
     24000	   5641.32640957   10163.05156650   -4521.72515693
     25000	   5694.09557272   10174.15899523   -4480.06342250
     26000	   5559.58318283   10110.57905285   -4550.99587003
     27000	   5647.67784245   10111.31964772   -4463.64180526
     28000	   5658.26409205   10119.09819389   -4460.83410184
     29000	   5590.08868624   10142.86742002   -4552.77873378
     30000	   5653.31350913   10189.24671703   -4535.93320789
     31000	   5729.83473119   10125.29080463   -4395.45607344
     32000	   5756.26890218   10215.61643300   -4459.34753082
     33000	   5819.01181870   10211.61259119   -4392.60077249
     34000	   5769.06727218   10195.93620030   -4426.86892812
     35000	   5667.31538889   10125.14013845   -4457.82474956
     36000	   5788.69936097   10155.66454483   -4366.96518386
     37000	   5627.57762504   10151.65382812   -4524.07620307
     38000	   5764.07593447   10147.27124075   -4383.19530628
     39000	   5641.68966777   10127.19589411   -4485.50622634
     40000	   5700.45466826   10153.71447567   -4453.25980741
     41000	   5710.86949608   10157.08189760   -4446.21240151
     42000	   5837.85183931   10176.90933447   -4339.05749516
     43000	   5666.51810148   10160.15928790   -4493.64118643
     44000	   5583.76925158   10188.25209147   -4604.48283988
     45000	   5723.32122047   10140.47687743   -4417.15565696
     46000	   5670.45955443   10124.86451649   -4454.40496206
     47000	   5762.68632584   10130.51182246   -4367.82549663
     48000	   5497.15505171   10042.50281046   -4545.34775875
     49000	   5471.60549607   10094.68004070   -4623.07454463
     50000	   5529.97239597   10167.25514150   -4637.28274553
     51000	   5679.62452673   10150.12177727   -4470.49725054
     52000	   5552.86068634   10118.31263566   -4565.45194932
     53000	   5600.32516327   10221.52126970   -4621.19610644
     54000	   5600.79983055   10101.03785359   -4500.23802304
     55000	   5448.32181843   10095.82252302   -4647.50070459
     56000	   5702.20772538   10172.10034004   -4469.89261465
     57000	   5498.91436239   10088.84266528   -4589.92830290
     58000	   5625.30215638   10166.76956416   -4541.46740778
     59000	   5516.05473597   10187.05282244   -4670.99808647
     60000	   5781.35087037   10146.56339210   -4365.21252174
     61000	   5584.34138662   10135.64698496   -4551.30559834
     62000	   5597.33590115   10135.73405579   -4538.39815465
     63000	   5600.15227217   10096.30092590   -4496.14865373
     64000	   5832.12437692   10197.20817773   -4365.08380081
     65000	   5654.69104449   10167.84513393   -4513.15408944
     66000	   5660.69734584   10170.86538937   -4510.16804353
     67000	   5567.54423294   10167.41491289   -4599.87067996
     68000	   5545.39096755   10165.17130297   -4619.78033542
     69000	   5628.72432358   10191.49600895   -4562.77168537
     70000	   5654.93775069   10155.17008473   -4500.23233404
     71000	   5461.94200820   10112.23684296   -4650.29483476
     72000	   5691.94921102   10124.98839595   -4433.03918493
     73000	   5603.07776065   10100.96277094   -4497.88501029
     74000	   5497.77503547   10147.67485655   -4649.89982108
     75000	   5373.83308991   10136.43520842   -4762.60211852
     76000	   5420.56176810   10115.98778640   -4695.42601831
     77000	   5596.95420045   10132.22831628   -4535.27411582
     78000	   5652.93288569   10164.03341838   -4511.10053268
     79000	   5781.25204840   10148.42422473   -4367.17217633
     80000	   5630.71487454   10165.80304686   -4535.08817232
     81000	   5631.77730391   10158.48251339   -4526.70520948
     82000	   5713.64811921   10160.27432522   -4446.62620601
     83000	   5623.82639590   10155.92082768   -4532.09443178
     84000	   5587.41591721   10145.63108887   -4558.21517166
     85000	   5640.44614020   10168.78887686   -4528.34273665
     86000	   5535.80405960   10090.01225340   -4554.20819380
     87000	   5489.70162492   10184.11768207   -4694.41605715
     88000	   5738.93842155   10190.40157747   -4451.46315592
     89000	   5640.04393435   10117.27370404   -4477.22976969
     90000	   5619.91622471   10077.14823126   -4457.23200655
     91000	   5425.39164765   10150.18077823   -4724.78913058
     92000	   5705.23657499   10213.88535247   -4508.64877748
     93000	   5550.25903937   10111.14617081   -4560.88713144
     94000	   5785.73863573   10153.48501761   -4367.74638188
     95000	   5533.95536390   10116.20253776   -4582.24717386
     96000	   5595.23232522   10164.31540070   -4569.08307548
     97000	   5533.89331790   10107.85269117   -4573.95937327
     98000	   5674.32495511   10141.15294280   -4466.82798769
     99000	   5492.73514662   10183.74441645   -4691.00926984
    100000	   5306.23200122   10142.20794964   -4835.97594842
