       250	     42.12186385
       500	    117.14418900
       750	     82.26266228
      1000	    105.93477819
      1250	    111.34655410
      1500	    146.56979236
      1750	    150.26817717
      2000	     43.56021361
      2250	     53.95075372
      2500	     48.48904222
      2750	    138.92875083
      3000	    151.91867560
      3250	     53.71899052
      3500	    138.72538436
      3750	    111.11542906
      4000	    102.43748343
      4250	    100.88840064
      4500	    135.18352713
      4750	     58.93484037
      5000	     95.30210689
      5250	     69.13988749
      5500	    120.49544906
      5750	     91.39200996
      6000	     56.55252289
      6250	    175.79329656
      6500	    129.66334312
      6750	    199.39127481
      7000	    174.53404193
      7250	    191.82456500
      7500	    153.79917898
      7750	    145.00582742
      8000	    117.77719933
      8250	    139.51532605
      8500	    113.29604740
      8750	    188.92207106
      9000	    191.31637127
      9250	    166.73000395
      9500	    142.33131688
      9750	     91.33855997
     10000	    109.28441917
