#Frame   ETOTAL_00000  EBOND_00001 EANGLE_00002 EDIHEDRAL_00003  E14LJ_00004 E14ELEC_00005    ELJ_00006  EELEC_00007
       1   -6571.7776    1894.7761    4788.9295       8120.3872    2217.3666    26138.8146   -4930.3532  -44801.6984
       2   -6746.4126    1930.5809    4878.8044       8069.6580    2223.0644    26120.6119   -4910.4875  -45058.6447
       3   -7269.4148    1890.2914    4705.5329       8011.9684    2236.9183    26276.6144   -4901.6594  -45489.0808
       4   -6845.9449    1823.9413    4743.7337       8036.4679    2263.6131    26140.3633   -4886.8703  -44967.1939
       5   -7085.7551    1878.4491    4771.1077       8035.5949    2244.7535    26190.8594   -4963.2870  -45243.2328
       6   -6810.3667    1921.0909    4814.3629       8058.1266    2254.8446    26188.7187   -4926.8971  -45120.6133
       7   -6763.0215    1884.7948    4798.2650       8010.1725    2254.9190    26366.6135   -4892.5733  -45185.2130
       8   -7068.7849    1838.3756    4796.3848       8060.6882    2251.3185    26175.2129   -4890.8829  -45299.8821
       9   -6924.6655    1877.7302    4776.3114       8008.3933    2249.6866    26345.4611   -4899.1690  -45283.0791
      10   -6822.3821    1927.8989    4829.5439       8037.5956    2204.6770    26246.6629   -4909.3302  -45159.4302
      11   -6799.7361    1823.8999    4843.7119       8008.6414    2215.0242    26271.0632   -4865.1098  -45096.9670
      12   -6792.1793    1874.2467    4778.9739       8068.1518    2263.1721    26163.3749   -4897.5839  -45042.5148
      13   -6626.1104    1925.0190    4904.5364       8055.5684    2202.2548    26188.4454   -4892.7875  -45009.1469
      14   -6822.3592    1850.6478    4784.0205       8080.3771    2221.5112    26382.3870   -4870.6497  -45270.6530
      15   -6891.6631    1873.8794    4793.1655       8036.6629    2211.0647    26317.0121   -4895.5480  -45227.8996
      16   -6877.2178    1914.1014    4856.2746       8068.7939    2243.2315    26336.3579   -4939.9466  -45356.0305
      17   -6971.8445    1862.2953    4727.2206       8002.0283    2259.9808    26208.0436   -4893.8055  -45137.6075
      18   -6938.3574    1917.2531    4820.0988       7993.3651    2207.0200    26249.1965   -4922.2672  -45203.0237
      19   -6697.6169    1886.5744    4849.9068       8021.3573    2206.0946    26164.5704   -4851.6375  -44974.4830
      20   -6737.3921    1870.4131    4866.5928       8071.1525    2217.3245    26289.9259   -4904.2815  -45148.5193
      21   -6771.4341    1889.1157    4826.7191       8058.7706    2199.2994    26192.3923   -4890.4999  -45047.2312
      22   -6952.9060    1871.9422    4760.4723       8074.3452    2215.8041    26282.9443   -4908.1362  -45250.2780
      23   -6926.7823    1799.7954    4724.2907       8059.4377    2257.4899    26219.0726   -4912.9836  -45073.8850
      24   -6722.8396    1917.3082    4810.7048       8051.3447    2230.0816    26300.1875   -4889.6167  -45142.8497
      25   -6963.0057    1804.3383    4752.8923       8019.3097    2205.4065    26151.7735   -4902.1381  -44994.5880
      26   -6819.4379    1910.1621    4762.4947       8016.2069    2242.6213    26197.6957   -4862.1770  -45086.4414
      27   -6839.2291    1932.2183    4810.6683       8042.3934    2277.2620    26300.8874   -4878.0987  -45324.5598
      28   -6928.4230    1819.0760    4789.4229       8044.9655    2235.7537    26185.3008   -4887.8261  -45115.1158
      29   -6794.8709    1905.5123    4762.2941       7999.2490    2233.2112    26319.4843   -4894.5363  -45120.0856
      30   -6939.6409    1911.2214    4789.3142       8044.9540    2208.6417    26138.9864   -4880.1285  -45152.6300
      31   -7202.4639    1846.6090    4776.8635       7994.0192    2261.4233    26167.0243   -4923.0902  -45325.3130
      32   -6919.6698    1940.4196    4830.7934       8055.5715    2220.2774    26131.4440   -4925.9727  -45172.2030
      33   -7007.9373    1936.1178    4837.5686       8023.5615    2209.1475    26133.2251   -4935.8759  -45211.6820
      34   -6744.6963    1946.9235    4924.2947       8048.7286    2234.0191    26040.1549   -4875.9073  -45062.9096
      35   -6819.3488    1904.4543    4960.1647       8007.1098    2256.6298    26157.4417   -4909.8716  -45195.2775
      36   -7171.0916    1852.8159    4724.6099       8001.3864    2214.4360    26235.6221   -4878.5279  -45321.4340
      37   -7009.9031    1849.8862    4784.3364       8034.1904    2208.8572    26058.8191   -4841.0650  -45104.9274
      38   -7082.8074    1896.7747    4830.7173       8032.4895    2223.7746    26019.0795   -4963.5557  -45122.0874
